Pattern_Amp_CH-1	Pattern_Amp_CH-2	Pattern_Amp_CH-3
0.606652	0.14686	0.246488
0.606736	0.146683	0.246581
0.60681	0.146507	0.246683
0.606874	0.146337	0.24679
0.606928	0.14617	0.246902
0.606977	0.146	0.247023
0.607021	0.145832	0.247148
0.607055	0.145672	0.247273
0.607079	0.145521	0.2474
0.607097	0.145367	0.247536
0.607116	0.1452	0.247685
0.607134	0.145024	0.247842
0.607146	0.14485	0.248004
0.607144	0.144679	0.248177
0.607129	0.144503	0.248368
0.607111	0.144318	0.248572
0.607088	0.144129	0.248783
0.607049	0.143955	0.248995
0.606981	0.143816	0.249203
0.606879	0.143715	0.249406
0.606746	0.143644	0.24961
0.606582	0.143592	0.249825
0.60639	0.143559	0.250052
0.606178	0.143536	0.250286
0.605958	0.143518	0.250524
0.605728	0.143515	0.250758
0.605477	0.143543	0.250979
0.605195	0.143617	0.251188
0.604886	0.143717	0.251397
0.604564	0.143809	0.251626
0.604239	0.143886	0.251875
0.603914	0.14396	0.252126
0.603596	0.14403	0.252374
0.603281	0.144096	0.252623
0.602959	0.144167	0.252875
0.602626	0.144243	0.253131
0.602287	0.144315	0.253398
0.601944	0.144386	0.253669
0.601599	0.144461	0.25394
0.601258	0.144538	0.254204
0.600932	0.144608	0.25446
0.600631	0.144666	0.254702
0.600349	0.144727	0.254924
0.600063	0.144799	0.255138
0.599768	0.144876	0.255357
0.599464	0.144961	0.255575
0.599156	0.145058	0.255786
0.598857	0.145158	0.255986
0.598579	0.145252	0.256168
0.598321	0.145341	0.256338
0.598072	0.145421	0.256507
0.597821	0.145501	0.256678
0.597555	0.145601	0.256844
0.597272	0.145738	0.25699
0.596976	0.145908	0.257116
0.596673	0.146093	0.257235
0.596364	0.146278	0.257358
0.596053	0.146456	0.257492
0.595755	0.146615	0.25763
0.595475	0.146758	0.257767
0.5952	0.146896	0.257904
0.594926	0.147033	0.258041
0.594648	0.147162	0.258191
0.594357	0.147285	0.258359
0.594064	0.147397	0.258539
0.593783	0.147493	0.258724
0.593511	0.14757	0.258918
0.593246	0.14763	0.259124
0.592993	0.147674	0.259333
0.592756	0.147705	0.259539
0.592528	0.147726	0.259746
0.592306	0.147737	0.259957
0.592093	0.147735	0.260172
0.591899	0.147713	0.260388
0.59173	0.147672	0.260598
0.591589	0.147612	0.260799
0.591472	0.147534	0.260994
0.591367	0.147441	0.261192
0.591264	0.147337	0.261399
0.59117	0.147219	0.261611
0.59109	0.147088	0.261822
0.591027	0.146944	0.262029
0.590977	0.146797	0.262226
0.590929	0.14666	0.262411
0.590873	0.146546	0.262581
0.590809	0.146456	0.262735
0.590732	0.146386	0.262882
0.590643	0.146327	0.26303
0.590552	0.146273	0.263175
0.59047	0.146217	0.263312
0.590387	0.146168	0.263444
0.590293	0.146134	0.263573
0.590194	0.146105	0.263701
0.590102	0.146065	0.263833
0.590021	0.146011	0.263969
0.589949	0.145944	0.264107
0.58988	0.145866	0.264254
0.589806	0.145778	0.264416
0.589729	0.145684	0.264588
0.589669	0.145578	0.264753
0.589644	0.145455	0.264901
0.589644	0.145313	0.265043
0.58965	0.145153	0.265197
0.589653	0.144978	0.265369
0.589651	0.1448	0.265549
0.589646	0.144625	0.265729
0.589642	0.14445	0.265908
0.589647	0.144261	0.266092
0.589677	0.144054	0.26627
0.589738	0.14384	0.266422
0.589808	0.143642	0.26655
0.589869	0.143471	0.26666
0.589933	0.143312	0.266755
0.590022	0.143149	0.266829
0.590145	0.142973	0.266882
0.590292	0.142783	0.266925
0.590447	0.142584	0.266969
0.590608	0.142374	0.267018
0.590776	0.142153	0.267071
0.59095	0.141927	0.267123
0.591125	0.141697	0.267177
0.591299	0.141464	0.267238
0.591467	0.141225	0.267308
